system,model_seed,reverse_region,timestep,call_index,site,operation,anchor_weight_mass,complement_weight_mass,anchor_norm,complement_residual_norm,fraction_projected,near_zero_skip_fraction,pre_projection_cosine,post_projection_cosine,removed_opposing_norm_ratio,removed_opposing_energy_ratio,retained_complement_norm,full_to_aa_delta_norm,aa_to_fa_delta_norm,effective_branch_count,maximum_weight,top1_top2_margin,dominant_period,active_period_count,decomposition_identity_max_abs_error,maximum_post_projection_violation
PETS_U_BF_EFULL_DFULL,42,high_noise,490,0,decoder,FULL,0.7483130358159542,0.2516869692190084,1.5951294746046187,0.2444900064439252,0.0,0.0,-0.3208338604683973,-0.3208338604683973,0.0,0.0,0.2444900064439252,0.0,0.2444900064439252,1.6209514625370502,0.7447031643241644,0.5077126929536462,18.625,5.0,1.4901161193847656e-08,1.120823621749878
PETS_U_BF_EAA_DFULL,42,high_noise,490,0,encoder,ANTI_ANCHOR,0.896641556173563,0.1033584586130018,4.671045883093029,0.265540977400363,0.773681640625,0.0,-0.2799080318970457,0.0416001686619138,0.321508076511062,0.1723577763635935,0.2385130691479133,0.087410013778348,0.2385130691479133,1.33400421962142,0.8763862568885088,0.7979156309738755,8.53125,5.0,4.4703483581542975e-08,8.195638656616212e-08
PETS_U_BF_EAA_DFULL,42,high_noise,490,0,decoder,FULL,0.7484263423830271,0.2515736513596494,1.5974037565028991,0.244344182266559,0.0,0.0,-0.3204384694467359,-0.3204384694467359,0.0,0.0,0.244344182266559,0.0,0.244344182266559,1.6206451393663883,0.7448166571557522,0.5079159429296851,18.625,5.0,1.4901161193847656e-08,1.1172711849212646
PETS_U_BF_EFULL_DAA,42,high_noise,490,0,encoder,FULL,0.896641556173563,0.1033584586130018,4.671045883093029,0.265540977400363,0.0,0.0,-0.2799080318970457,-0.2799080318970457,0.0,0.0,0.265540977400363,0.0,0.265540977400363,1.33400421962142,0.8763862568885088,0.7979156309738755,8.53125,5.0,4.4703483581542975e-08,8.247790336608887
PETS_U_BF_EFULL_DAA,42,high_noise,490,0,decoder,ANTI_ANCHOR,0.7483130358159542,0.2516869692190084,1.5951294746046187,0.2444900064439252,0.9052734375,0.0,-0.3208338604683973,0.0074768943678272,0.328310736772508,0.1557482736498456,0.2230494630009616,0.0806504858674275,0.2230494630009616,1.6209514625370502,0.7447031643241644,0.5077126929536462,18.625,5.0,1.4901161193847656e-08,1.1175870895385742e-08
PETS_U_BF_EAA_DAA,42,high_noise,490,0,encoder,ANTI_ANCHOR,0.896641556173563,0.1033584586130018,4.671045883093029,0.265540977400363,0.773681640625,0.0,-0.2799080318970457,0.0416001686619138,0.321508076511062,0.1723577763635935,0.2385130691479133,0.087410013778348,0.2385130691479133,1.33400421962142,0.8763862568885088,0.7979156309738755,8.53125,5.0,4.4703483581542975e-08,8.195638656616212e-08
PETS_U_BF_EAA_DAA,42,high_noise,490,0,decoder,ANTI_ANCHOR,0.7484263423830271,0.2515736513596494,1.5974037565028991,0.244344182266559,0.905029296875,0.0,-0.3204384694467359,0.0075187110668023,0.3279571623464221,0.1555752949951685,0.2229303684243859,0.0805435558139846,0.2229303684243859,1.6206451393663883,0.7448166571557522,0.5079159429296851,18.625,5.0,1.4901161193847656e-08,1.1175870895385742e-08
PETS_U_BF_EFULL_DFULL,42,middle,250,0,encoder,FULL,0.5785034876316786,0.4214965067803859,6.3660020219685975,1.2525513795917504,0.0,0.0,-0.6084851399778302,-0.6084851399778302,0.0,0.0,1.2525513795917504,0.0,1.2525513795917504,2.742660742253065,0.554620822891593,0.3563872342929244,32.53125,5.0,4.4703483581542975e-08,31.16733932495117
PETS_U_BF_EFULL_DFULL,42,middle,250,0,decoder,FULL,0.9736226070672274,0.0263773882616078,1.7742938918381697,0.0312411993926957,0.0,0.0,-0.7159328241924641,-0.7159328241924641,0.0,0.0,0.0312411993926957,0.0,0.0312411993926957,1.0557591542601583,0.9736226070672274,0.9604208152741194,25.0,5.0,1.164153218269348e-09,0.378711998462677
PETS_U_BF_EAA_DFULL,42,middle,250,0,encoder,ANTI_ANCHOR,0.5785034876316786,0.4214965067803859,6.3660020219685975,1.2525513795917504,0.866943359375,0.0,-0.6084851399778302,0.0530688963976661,0.6615540196822565,0.5369386614868716,0.7728850526436872,0.8470733192014279,0.7728850526436872,2.742660742253065,0.554620822891593,0.3563872342929244,32.53125,5.0,4.4703483581542975e-08,1.341104507446289e-07
PETS_U_BF_EAA_DFULL,42,middle,250,0,decoder,FULL,0.9741698689758778,0.0258301416470203,1.752273388003232,0.0296011122099457,0.0,0.0,-0.7100276222608386,-0.7100276222608386,0.0,0.0,0.0296011122099457,0.0,0.0296011122099457,1.054558228701353,0.9741698689758778,0.9612829629331828,25.0,5.0,1.164153218269348e-09,0.3786995708942413
PETS_U_BF_EFULL_DAA,42,middle,250,0,encoder,FULL,0.5785034876316786,0.4214965067803859,6.3660020219685975,1.2525513795917504,0.0,0.0,-0.6084851399778302,-0.6084851399778302,0.0,0.0,1.2525513795917504,0.0,1.2525513795917504,2.742660742253065,0.554620822891593,0.3563872342929244,32.53125,5.0,4.4703483581542975e-08,31.16733932495117
PETS_U_BF_EFULL_DAA,42,middle,250,0,decoder,ANTI_ANCHOR,0.9736226070672274,0.0263773882616078,1.7742938918381697,0.0312411993926957,0.994873046875,0.0,-0.7159328241924641,0.0004467557729139,0.7163794110783783,0.5456608152184792,0.0192511564686697,0.0236008225051165,0.0192511564686697,1.0557591542601583,0.9736226070672274,0.9604208152741194,25.0,5.0,1.164153218269348e-09,1.862645149230957e-09
PETS_U_BF_EAA_DAA,42,middle,250,0,encoder,ANTI_ANCHOR,0.5785034876316786,0.4214965067803859,6.3660020219685975,1.2525513795917504,0.866943359375,0.0,-0.6084851399778302,0.0530688963976661,0.6615540196822565,0.5369386614868716,0.7728850526436872,0.8470733192014279,0.7728850526436872,2.742660742253065,0.554620822891593,0.3563872342929244,32.53125,5.0,4.4703483581542975e-08,1.341104507446289e-07
PETS_U_BF_EAA_DAA,42,middle,250,0,decoder,ANTI_ANCHOR,0.9741698689758778,0.0258301416470203,1.752273388003232,0.0296011122099457,0.994384765625,0.0,-0.7100276222608386,0.0005170235707728,0.7105444741491738,0.5408272574124071,0.0182175609862724,0.0222752920712636,0.0182175609862724,1.054558228701353,0.9741698689758778,0.9612829629331828,25.0,5.0,1.164153218269348e-09,1.862645149230957e-09
