family,system,seed,draw,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error
PETS_U,PETS_U_BF_FULL,2,100001,0.0014699303147861574,0.015579103025088996,0.016982096587874772,0.00789207450519152,0.013288251446076017,0.07359787990717126
PETS_U,PETS_U_BF_FULL,2,100002,0.0014594294772491089,0.015542320400052297,0.016074992779799742,0.007877502039229572,0.013334607082978144,0.07442579896541957
PETS_U,PETS_U_BF_FULL,2,100003,0.001475559017029444,0.014311245596911633,0.015678567050266844,0.007852580837841659,0.01323867649692858,0.07457914806547622
PETS_U,PETS_U_BF_FULL,2,100004,0.0015015330241778871,0.018169663137501655,0.016610583949975513,0.00802886029350066,0.013492617674940699,0.07434109711592973
PETS_U,PETS_U_BF_FULL,42,100000,0.0014981640509628767,0.01225529845798457,0.017755227716179225,0.007858228443728753,0.013367707594518774,0.07678361057964855
PETS_U,PETS_U_BF_FULL,42,100001,0.0015005910895148887,0.011958191358880441,0.018372451160444576,0.007930464092035398,0.013469951925439115,0.07731147472009642
PETS_U,PETS_U_BF_FULL,42,100002,0.0014852780624899258,0.011240304780295323,0.017716767507840625,0.007926941728906841,0.013562674730258538,0.07810451654620187
PETS_U,PETS_U_BF_FULL,42,100003,0.0015009102773923596,0.014504501398830994,0.01719084724515768,0.007967712233302702,0.013570697220493491,0.07815877001842408
PETS_U,PETS_U_BF_FULL,42,100004,0.0015149971113511541,0.012045587825351738,0.017840359931293476,0.007989682133476266,0.013638798196213157,0.07856151900864516
PETS_U,PETS_U_BF_FULL,123,100000,0.0014586736168538113,0.01461650845789413,0.01622757207826193,0.007764356670121913,0.012924441556390553,0.06567687296272678
PETS_U,PETS_U_BF_FULL,123,100001,0.0014496426699284529,0.013788081511748033,0.016725672610196335,0.0077637578049158,0.012867003360720095,0.06568988272392295
PETS_U,PETS_U_BF_FULL,123,100002,0.0014576748276040176,0.0128646656667406,0.016274653232597743,0.007842710192380843,0.013034672919544063,0.0662717235331633
PETS_U,PETS_U_BF_FULL,123,100003,0.00147301487230947,0.013015773649853965,0.01593866554201482,0.007863533035463048,0.012975998890445234,0.06568877551020413
PETS_U,PETS_U_BF_FULL,123,100004,0.0014805996446267575,0.019070367790809513,0.016633301548877176,0.007906388560763644,0.01309473574339802,0.06681924071712025
PETS_U,PETS_U_BF_ANTI_ANCHOR,0,100000,0.001386627453849482,0.01576883445187144,0.01837262409390985,0.0070575390878248045,0.011597589107745658,0.06420676994756241
PETS_U,PETS_U_BF_ANTI_ANCHOR,0,100001,0.00137643330127543,0.01440996620822573,0.018001326208820296,0.007069208693663842,0.011597793826489664,0.06440966686153632
PETS_U,PETS_U_BF_ANTI_ANCHOR,0,100002,0.0013819432945891205,0.015759606746422395,0.017776060592717614,0.007158124049578978,0.011824506814203072,0.06531868932468826
